"","Taxon","wood.density","source"
"659","Synoum glandulosum",0.524,"AUSTRAITS_dataset_28"
"800","Synoum glandulosum",0.502,"AUSTRAITS_dataset_28"
"2163","Synoum glandulosum",0.531,"AUSTRAITS_dataset_34"
"2164","Synoum glandulosum",0.581,"AUSTRAITS_dataset_34"
"302","Syzygium australe",0.59,"AUSTRAITS_dataset_49"
"2170","Syzygium australe",0.633,"AUSTRAITS_dataset_34"
"660","Syzygium floribundum",0.6364,"AUSTRAITS_dataset_49"
"142","Syzygium luehmannii",0.57,"AUSTRAITS_dataset_49"
"2176","Syzygium luehmannii",0.758,"AUSTRAITS_dataset_34"
"2177","Syzygium luehmannii",0.607,"AUSTRAITS_dataset_34"
"317","Syzygium oleosum",0.79,"AUSTRAITS_dataset_49"
"2185","Syzygium oleosum",0.883,"AUSTRAITS_dataset_34"
"2264","Syzygium oleosum",0.643369914,"Lawson_field_work"
"147","Toechima tenax",0.6622,"AUSTRAITS_dataset_49"
"624","Toona ciliata",0.389,"AUSTRAITS_dataset_49"
"1102","Toona ciliata",0.53,"AUSTRAITS_dataset_39"
"2195","Toona ciliata",0.383,"AUSTRAITS_dataset_34"
"2196","Toona ciliata",0.338,"AUSTRAITS_dataset_34"
"2197","Toona ciliata",0.33,"AUSTRAITS_dataset_34"
"2198","Toona ciliata",0.387,"AUSTRAITS_dataset_34"
"2199","Toona ciliata",0.43,"AUSTRAITS_dataset_34"
"2200","Toona ciliata",0.39,"AUSTRAITS_dataset_34"
"590","Trema tomentosa",0.46,"AUSTRAITS_dataset_39"
"2202","Trema tomentosa",0.326,"AUSTRAITS_dataset_34"
"2203","Trema tomentosa",0.344,"AUSTRAITS_dataset_34"
"2204","Trema tomentosa",0.322,"AUSTRAITS_dataset_34"
"370","Tristaniopsis laurina",0.8256,"AUSTRAITS_dataset_49"
"2209","Tristaniopsis laurina",0.697,"AUSTRAITS_dataset_34"
"2210","Tristaniopsis laurina",0.87,"AUSTRAITS_dataset_34"
"2266","Tristaniopsis laurina",0.771117393,"Lawson_field_work"
"2213","Trophis scandens",0.659,"AUSTRAITS_dataset_34"
"2267","Trophis scandens",0.665265627,"Lawson_field_work"
"682","Vitex melicopea",0.49,"AUSTRAITS_dataset_49"
"196","Wikstroemia indica",0.58,"AUSTRAITS_dataset_39"
"595","Wilkiea huegeliana",0.5719,"AUSTRAITS_dataset_49"
