"","Taxon","leaf.area","source"
"420","Endiandra virens",16.625,"AUSTRAITS_dataset_49"
"842","Erythrina species 'Croftby'",31.85,"AUSTRAITS_dataset_49"
"907","Eupomatia bennettii",35,"AUSTRAITS_dataset_68"
"1082","Eupomatia bennettii",60.638,"AUSTRAITS_dataset_49"
"270","Eupomatia laurina",34.281,"AUSTRAITS_dataset_52"
"569","Eupomatia laurina",24.07,"AUSTRAITS_dataset_10"
"600","Eupomatia laurina",22.17,"AUSTRAITS_dataset_68"
"811","Eupomatia laurina",30.52,"AUSTRAITS_dataset_68"
"812","Eupomatia laurina",30.521,"AUSTRAITS_dataset_8"
"819","Eupomatia laurina",30.95,"Gallagher_field_workPHD"
"850","Eupomatia laurina",32.17,"Gallagher_field_workPHD"
"857","Eupomatia laurina",32.39,"Gallagher_field_workPHD"
"862","Eupomatia laurina",32.97,"AUSTRAITS_dataset_68"
"864","Eupomatia laurina",32.972,"AUSTRAITS_dataset_28"
"885","Eupomatia laurina",34.28,"AUSTRAITS_dataset_68"
"891","Eupomatia laurina",34.562,"AUSTRAITS_dataset_28"
"893","Eupomatia laurina",34.639,"AUSTRAITS_dataset_8"
"894","Eupomatia laurina",34.64,"AUSTRAITS_dataset_68"
"922","Eupomatia laurina",35.92,"Gallagher_field_workPHD"
"952","Eupomatia laurina",38.64,"AUSTRAITS_dataset_28"
"977","Eupomatia laurina",40.28,"Gallagher_field_workPHD"
"990","Eupomatia laurina",41.563,"AUSTRAITS_dataset_49"
"997","Eupomatia laurina",42.437,"AUSTRAITS_dataset_8"
"998","Eupomatia laurina",42.44,"AUSTRAITS_dataset_68"
"1003","Eupomatia laurina",43.4,"Gallagher_field_workPHD"
"1112","Eupomatia laurina",75.65,"AUSTRAITS_dataset_39"
"353","Euroschinus falcatus",13.75,"AUSTRAITS_dataset_68"
"495","Euroschinus falcatus",19.1,"Gallagher_field_workPHD"
"610","Euroschinus falcatus",22.6,"Gallagher_field_workPHD"
