"","Taxon","SLA","source"
"1084","Lomandra longifolia",5.56,"AUSTRAITS_dataset_10"
"1120","Lomandra longifolia",7.007,"AUSTRAITS_dataset_8"
"1381","Lomandra longifolia",4.1991,"AUSTRAITS_dataset_32"
"1384","Lomandra longifolia",5.3576,"AUSTRAITS_dataset_32"
"2247","Lomandra longifolia",12.89337361,"J_Lawson_FieldWork"
"716","Lophostemon suaveolens",7.30460189919649,"AUSTRAITS_dataset_61"
"849","Lophostemon suaveolens",5.82784544553878,"AUSTRAITS_dataset_39"
"1058","Lophostemon suaveolens",16.1812297734628,"AUSTRAITS_dataset_43"
"1409","Lophostemon suaveolens",10.493,"AUSTRAITS_dataset_52"
"2248","Lophostemon suaveolens",7.299270073,"from raw data in  Prentice CI, Dong N, Gleason SM, Maire W, Wright IJ. 2013. Balancing the costs of carbon gain and water transport: testing a new theoretical framework for plant functional ecology. Ecology Letters, published online
"
"1404","Macadamia tetraphylla",6.254,"AUSTRAITS_dataset_52"
"1165","Maclura cochinchinensis",21.2811236433284,"Gallagher_field_workPHD"
"1166","Maclura cochinchinensis",21.0482003788676,"Gallagher_field_workPHD"
"1167","Maclura cochinchinensis",20.3210729526519,"Gallagher_field_workPHD"
"1168","Maclura cochinchinensis",20.0642054574639,"Gallagher_field_workPHD"
"1169","Maclura cochinchinensis",16.5453342157512,"Gallagher_field_workPHD"
"1170","Maclura cochinchinensis",15.4750851129681,"Gallagher_field_workPHD"
"1172","Maclura cochinchinensis",14.2207053469852,"Gallagher_field_workPHD"
"703","Marsdenia rostrata",30.796,"AUSTRAITS_dataset_8"
"1173","Marsdenia rostrata",34.6860908775581,"Gallagher_field_workPHD"
"1174","Marsdenia rostrata",25.5427841634738,"Gallagher_field_workPHD"
"1175","Marsdenia rostrata",24.1196333815726,"Gallagher_field_workPHD"
"1176","Marsdenia rostrata",22.5275963054742,"Gallagher_field_workPHD"
"1177","Marsdenia rostrata",17.1909919202338,"Gallagher_field_workPHD"
"1391","Marsdenia rostrata",11.0345,"AUSTRAITS_dataset_32"
"2249","Melaleuca quinquenervia",7.962321972,"J_Lawson_FieldWork"
"1178","Mischocarpus pyriformis",9.18948722661275,"Gallagher_field_workPHD"
"1179","Mischocarpus pyriformis",8.91742464776173,"Gallagher_field_workPHD"
"1180","Mischocarpus pyriformis",8.61178091629349,"Gallagher_field_workPHD"
"1181","Mischocarpus pyriformis",8.42530963012891,"Gallagher_field_workPHD"
"61","Morinda jasminoides",26.12,"AUSTRAITS_dataset_10"
"86","Morinda jasminoides",31.278,"AUSTRAITS_dataset_8"
"241","Morinda jasminoides",15.6,"AUSTRAITS_dataset_8"
"244","Morinda jasminoides",31.851,"AUSTRAITS_dataset_8"
"254","Morinda jasminoides",23.353,"AUSTRAITS_dataset_8"
"268","Morinda jasminoides",23.637,"AUSTRAITS_dataset_52"
"1183","Morinda jasminoides",32.258064516129,"Gallagher_field_workPHD"
"1184","Morinda jasminoides",31.5258511979823,"Gallagher_field_workPHD"
"1185","Morinda jasminoides",27.4951883420401,"Gallagher_field_workPHD"
"1186","Morinda jasminoides",26.8456375838926,"Gallagher_field_workPHD"
"1187","Morinda jasminoides",26.5533722782793,"Gallagher_field_workPHD"
"1188","Morinda jasminoides",22.8675966155957,"Gallagher_field_workPHD"
"1189","Morinda jasminoides",21.982853374368,"Gallagher_field_workPHD"
"1190","Morinda jasminoides",15.7084511467169,"Gallagher_field_workPHD"
"1373","Morinda jasminoides",2.5144,"Gallagher_field_workPHD"
"2250","Morinda jasminoides",34.47539929,"J_Lawson_FieldWork"
"1191","Myrsine variabilis",17.9565451607111,"Gallagher_field_workPHD"
"1192","Myrsine variabilis",12.4626121635095,"Gallagher_field_workPHD"
"1194","Myrsine variabilis",9.26612305411416,"Gallagher_field_workPHD"
"1195","Myrsine variabilis",8.76731544800982,"Gallagher_field_workPHD"
"2251","Myrsine variabilis",10.0098011,"J_Lawson_FieldWork"
"752","Neolitsea dealbata",12.157,"AUSTRAITS_dataset_8"
"945","Neolitsea dealbata",13.578,"AUSTRAITS_dataset_8"
"1118","Neolitsea dealbata",12.587,"AUSTRAITS_dataset_28"
"1127","Neolitsea dealbata",9.78473581213307,"AUSTRAITS_dataset_39"
"1135","Neolitsea dealbata",10.703,"AUSTRAITS_dataset_28"
"1136","Neolitsea dealbata",11.106,"AUSTRAITS_dataset_28"
"1196","Neolitsea dealbata",11.05216622458,"Gallagher_field_workPHD"
"1365","Neolitsea dealbata",0.0169,"AUSTRAITS_dataset_23"
"2252","Neolitsea dealbata",13.7042141,"Lake, J. & Leishman, M.R. (2004) Invasion success of exotic plants in natural ecosystems: the role of disturbance, plant attributes and freedom from herbivores. Biological Conservation 117, 215NA226."
"611","Notelaea longifolia",5.8369,"AUSTRAITS_dataset_12"
"1010","Notelaea longifolia",5.5764,"AUSTRAITS_dataset_12"
"1197","Notelaea longifolia",23.6630383341221,"Gallagher_field_workPHD"
"1198","Notelaea longifolia",10.9301563012351,"Gallagher_field_workPHD"
"1199","Notelaea longifolia",10.1936799184506,"Gallagher_field_workPHD"
"1200","Notelaea longifolia",10.0371374084111,"Gallagher_field_workPHD"
"1201","Notelaea longifolia",8.2815734989648,"Gallagher_field_workPHD"
"1202","Notelaea longifolia",7.27696114102751,"Gallagher_field_workPHD"
"1203","Notelaea longifolia",6.19195046439628,"Gallagher_field_workPHD"
"2253","Notelaea longifolia",8.496776279,"J_Lawson_FieldWork"
"92","Notelaea microcarpa",5.057,"AUSTRAITS_dataset_8"
"482","Notelaea microcarpa",8.173,"AUSTRAITS_dataset_8"
"2254","Notelaea microcarpa",6.02,"J_Lawson_FieldWork"
"57","Ochna serrulata",20.31,"AUSTRAITS_dataset_10"
"116","Ochna serrulata",21.102,"AUSTRAITS_dataset_8"
"252","Ochna serrulata",19.181,"AUSTRAITS_dataset_52"
"1205","Olea paniculata",15.1194436044754,"Gallagher_field_workPHD"
"10","Pandorea pandorana",24.308,"AUSTRAITS_dataset_8"
"36","Pandorea pandorana",29.051,"AUSTRAITS_dataset_8"
"126","Pandorea pandorana",41.995,"AUSTRAITS_dataset_8"
"150","Pandorea pandorana",18.587,"AUSTRAITS_dataset_8"
"720","Pandorea pandorana",28.62,"AUSTRAITS_dataset_10"
"1206","Pandorea pandorana",27.3747604708459,"Gallagher_field_workPHD"
"1207","Pandorea pandorana",10.1061141990905,"Gallagher_field_workPHD"
"1376","Pandorea pandorana",2.8485,"Gallagher_field_workPHD"
"2255","Pandorea pandorana",34.62922997,"J_Lawson_FieldWork"
"1208","Pararchidendron pruinosum",24.6062992125984,"Gallagher_field_workPHD"
"96","Parsonsia straminea",37.305,"AUSTRAITS_dataset_8"
"162","Parsonsia straminea",29.981,"AUSTRAITS_dataset_52"
"688","Parsonsia straminea",26.87,"AUSTRAITS_dataset_10"
"1053","Parsonsia straminea",12.204,"AUSTRAITS_dataset_8"
"1209","Parsonsia straminea",20.5888408482602,"Gallagher_field_workPHD"
"1210","Parsonsia straminea",13.8888888888889,"Gallagher_field_workPHD"
"1211","Parsonsia straminea",11.6754232340922,"Gallagher_field_workPHD"
"1375","Parsonsia straminea",2.6497,"Gallagher_field_workPHD"
"1420","Passiflora edulis",21.6,"AUSTRAITS_dataset_10"
"378","Pittosporum undulatum",8.5488,"AUSTRAITS_dataset_12"
"520","Pittosporum undulatum",9.573,"AUSTRAITS_dataset_8"
"652","Pittosporum undulatum",10.95,"AUSTRAITS_dataset_10"
"757","Pittosporum undulatum",11.559,"AUSTRAITS_dataset_28"
"790","Pittosporum undulatum",8.4318,"AUSTRAITS_dataset_12"
"793","Pittosporum undulatum",7.215,"AUSTRAITS_dataset_8"
"821","Pittosporum undulatum",11.593,"AUSTRAITS_dataset_28"
"857","Pittosporum undulatum",11.75,"AUSTRAITS_dataset_28"
"881","Pittosporum undulatum",10.09,"AUSTRAITS_dataset_8"
"961","Pittosporum undulatum",16.472,"AUSTRAITS_dataset_52"
"1212","Pittosporum undulatum",13.7362637362637,"Gallagher_field_workPHD"
"1213","Pittosporum undulatum",11.0778774786751,"Gallagher_field_workPHD"
"1214","Pittosporum undulatum",9.9147332936744,"Gallagher_field_workPHD"
"1216","Pittosporum undulatum",9.65810314854163,"Gallagher_field_workPHD"
"1386","Pittosporum undulatum",9.1925,"AUSTRAITS_dataset_32"
"1390","Pittosporum undulatum",10.4454,"AUSTRAITS_dataset_32"
"1400","Pittosporum undulatum",20.0724,"AUSTRAITS_dataset_32"
"1408","Pittosporum undulatum",10.465,"AUSTRAITS_dataset_52"
"919","Polyscias elegans",13.7362637362637,"AUSTRAITS_dataset_61"
"1217","Polyscias elegans",16.3132137030995,"Gallagher_field_workPHD"
"1218","Polyscias elegans",15.1171579743008,"Gallagher_field_workPHD"
"1219","Polyscias elegans",14.4175317185698,"Gallagher_field_workPHD"
"1220","Polyscias elegans",9.09338910611985,"Gallagher_field_workPHD"
"1364","Pothos longipes",0.012,"AUSTRAITS_dataset_23"
"1392","Pothos longipes",12.0048,"AUSTRAITS_dataset_32"
"222","Psychotria loniceroides",11.2523911331158,"AUSTRAITS_dataset_39"
"410","Psychotria loniceroides",10.156,"AUSTRAITS_dataset_52"
"499","Psychotria loniceroides",14.261,"AUSTRAITS_dataset_8"
