"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"175","Melaleuca.bracteata",3,0.299,15,0.0570170270528256,NA,0.87
"176","Melia.azedarach",4,6.3,45,321.375832537482,NA,0.387666666666667
"177","Melodinus.australis",6,48.79575,NA,65,NA,NA
"178","Melodorum.leichhardtii",5,29.9825,NA,124.16,NA,NA
"179","Micromelum.minutum",12,28.1105,10,22,NA,NA
"180","Mischarytera.lautereriana",NA,21.175,30,NA,NA,0.5935
"181","Mischocarpus.australis",NA,17.85,35,NA,NA,0.6493
"182","Pavetta.australiensis",3,47.775,7,219,NA,NA
"183","Phyllanthus.microcladus",3,0.147,1,NA,NA,NA
"184","Pilidiostigma.rhytispermum",NA,1.89,10,55.8125393040388,NA,NA
"185","Piper.hederaceum",NA,51.476,NA,NA,NA,NA
"186","Pittosporum.multiflorum",6,0.268,4.2,11.071,NA,NA
"187","Planchonella.australis",4,29.4,40,670.457262907258,NA,0.7568
"188","Pleurostylia.opposita",NA,10.5,15,NA,NA,NA
"189","Pouteria.queenslandica",NA,31.55,40,150.796,NA,NA
"190","Pseudoweinmannia.lachnocarpa",3,16.678,35.2,NA,NA,0.744666666666667
"191","Psychotria.daphnoides",3,1.26,2,18.413,NA,NA
"192","Psychotria.spp...shute.harbour.",NA,18.9,5,NA,NA,NA
"193","Psydrax.odorata",NA,14.7,15,NA,NA,0.825
"194","Rhodamnia.argentea",4,24.684,40,16.978,NA,0.705366666666667
"195","Rhodosphaera.rhodanthema",3,7.963,27,448.871,NA,0.5895
"196","Schefflera.actinophylla",5,117.469,24,7.87903786820389,NA,0.4065
"197","Senna.pendula",12,3.06,3,18.5,NA,NA
"198","Senna.septemtrionalis",9,8.65375,3,20.604,NA,NA
"199","Senna.sulfurea",NA,19.635,11,42.6795,NA,NA
"200","Sloanea.woollsii",3,35.535,45,NA,NA,0.523733333333333
"201","Sterculia.quadrifida",3,91.1793333333333,25,NA,NA,0.322
"202","Tabernaemontana.pandacaqui",6,26.0183333333333,4,23.597,NA,NA
"203","Tecoma.capensis",6,2.625,3,2.148,NA,NA
"204","Tecoma.stans",6,8.3125,5,9,NA,0.462
"205","Toechima.tenax",3,6.15,30,NA,NA,0.6622
"206","Turraea.pubescens",3,20.3,7,NA,NA,NA
"207","Vitex.melicopea",NA,24.938,30,NA,NA,0.49
"208","Wilkiea.macrophylla",3,61.5,10,NA,NA,NA
"209","Callistemon.salignus",3,NA,6,0.0483264695868348,NA,0.839
"210","Cyperus.involucratus",5,NA,1.2,0.055,NA,NA
"211","Schoenoplectus.validus",6,NA,2,0.91,NA,NA
"212","Cestrum.nocturnum",6,NA,NA,3.236,NA,NA
"213","Ipomoea.cairica",3,NA,NA,24.851,NA,NA
"214","Jacaranda.mimosifolia",NA,NA,NA,11.7,NA,NA
"215","Passiflora.suberosa",8,NA,NA,3.476,NA,NA
"216","Passiflora.subpeltata",6,NA,NA,69,NA,NA
"217","Solanum.chrysotrichum",NA,NA,NA,1.388,NA,NA
"218","Solanum.seaforthianum",9,NA,NA,2.115,NA,NA
"219","Solanum.torvum",NA,NA,NA,1,NA,NA
